Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
1	0.026046	0.0235889	0.00997996	0.00254416	0.0622089	64	
2	0.0304	0.0300579	0.013442	0.011055	0.0850761	68	
3	0.036731	0.0226159	0.00799513	0.00198507	0.0693519	33	
4	0.0232549	0.019989	0.00876999	0.00207019	0.0541148	49	
5	0.024503	0.0182922	0.00863385	0.00378299	0.055249	35	
6	0.024683	0.033462	0.00903201	0.00385284	0.0710821	40	
7	0.0350909	0.0276911	0.012279	0.00542903	0.0805149	33	
8	0.0308509	0.0273931	0.0142779	0.00428605	0.076849	29	
9	0.029366	0.0306549	0.015435	0.00190592	0.0773818	23	
10	0.0241261	0.0208471	0.00792098	0.00158691	0.054497	13	
11	0.0227768	0.0183671	0.00834703	0.00199914	0.051513	27	
12	0.0232689	0.026937	0.00855994	0.00904202	0.0678411	20	
13	0.0276899	0.025178	0.00954294	0.00193095	0.064364	26	
14	0.024245	0.022388	0.00955391	0.00257111	0.058794	20	
15	0.0314791	0.0278809	0.010349	0.00532985	0.0751321	24	
16	0.032757	0.0205948	0.00759506	0.00204706	0.0630181	23	
17	0.023262	0.0211179	0.00809598	0.00177693	0.0542741	19	
18	0.023957	0.0197651	0.00796294	0.00173616	0.0534391	24	
19	0.0240669	0.023298	0.015188	0.00290203	0.0654788	21	
20	0.0287368	0.029583	0.00940514	0.002707	0.0705569	23	
21	0.028852	0.031652	0.015955	0.0026021	0.079083	32	
22	0.0313468	0.025007	0.01547	0.0023241	0.0741708	28	
23	0.031424	0.020854	0.00824594	0.00154614	0.0620861	17	
24	0.0227239	0.0210609	0.0082171	0.00160313	0.0536208	15	
25	0.023397	0.01752	0.00782108	0.00158191	0.050334	19	
26	0.0229759	0.022804	0.00774217	0.0022049	0.0557561	22	
27	0.023788	0.028394	0.0126331	0.00523305	0.070066	13	
28	0.0275881	0.0285361	0.015981	0.00187898	0.074003	20	
29	0.0241349	0.0231721	0.00875401	0.00200391	0.0580969	27	
30	0.026186	0.0242	0.00907397	0.0022831	0.0617769	15	
