Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.00731587	0.00221395	0.00727105	0.00305104	0.019892	
2	0.00771308	0.00242186	0.00731897	0.00323915	0.020735	
3	0.00759482	0.00213599	0.00611305	0.00272703	0.0186038	
4	0.00771499	0.00216007	0.00632906	0.00271201	0.018955	
5	0.00777316	0.00218797	0.00730896	0.00285697	0.0201621	
6	0.00761914	0.00222087	0.00642204	0.00276613	0.019063	
7	0.00754595	0.00218201	0.00616813	0.00265884	0.0185881	
8	0.00766015	0.00218391	0.00688505	0.00287104	0.019635	
9	0.00759411	0.00209284	0.00524211	0.00206089	0.0170181	
10	0.0076251	0.00219893	0.00485802	0.00171089	0.0164151	
11	0.00758314	0.00213504	0.00567794	0.00229692	0.0177231	
12	0.00767016	0.00244999	0.00573993	0.00232506	0.0182152	
13	0.0076139	0.00216293	0.00542116	0.00268292	0.017909	
14	0.0075469	0.00212002	0.00553799	0.00224805	0.017482	
15	0.00759602	0.00217319	0.00609779	0.00220799	0.0181041	
16	0.00752902	0.00213003	0.00552011	0.00222802	0.017436	
17	0.00763702	0.00212693	0.00565219	0.0022769	0.0177221	
18	0.0075891	0.0020659	0.00530291	0.00202608	0.01701	
19	0.00750995	0.00206208	0.00528979	0.00206423	0.016953	
20	0.0075891	0.00207901	0.00541186	0.00240421	0.0175121	
21	0.0075078	0.00210214	0.00540996	0.00274205	0.0178008	
22	0.009094	0.002105	0.00580001	0.00220299	0.0192308	
23	0.00750709	0.00207496	0.00533295	0.00201797	0.016958	
24	0.00750208	0.00217009	0.00519991	0.00199413	0.016891	
25	0.00750518	0.00203395	0.00488687	0.001755	0.0162041	
26	0.00745702	0.0020628	0.00511503	0.00189209	0.016551	
27	0.00751114	0.00203085	0.00514817	0.00231099	0.0170259	
28	0.0074482	0.00204182	0.00487208	0.00177407	0.0161591	
29	0.00752497	0.00204015	0.00547099	0.00202298	0.017082	
30	0.00747204	0.00204182	0.00490308	0.00186396	0.016304	
31	0.00755119	0.00211191	0.00576687	0.00218415	0.0176411	
32	0.00748301	0.00211287	0.00537109	0.00214291	0.0171368	
