Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
1	0.022547	0.021147	0.011483	0.0109901	0.0663011	162	
2	0.0220881	0.0213051	0.011543	0.0112081	0.0662711	168	
3	0.023946	0.0218301	0.0104098	0.0094018	0.065697	114	
4	0.0231361	0.0224879	0.0110919	0.0100539	0.0668771	140	
5	0.0228331	0.0205889	0.0109632	0.0104909	0.0649872	125	
6	0.0242178	0.0207932	0.011328	0.00984788	0.066293	125	
7	0.0233061	0.0220759	0.010587	0.00910687	0.065176	105	
8	0.022675	0.0195911	0.010931	0.00982285	0.0631661	117	
9	0.023828	0.02157	0.0100701	0.00792313	0.063482	79	
10	0.0227489	0.0203109	0.00998497	0.00700998	0.0601239	66	
11	0.0227339	0.0207739	0.0102661	0.00899005	0.0628529	83	
12	0.024039	0.0211201	0.0106571	0.00893092	0.064841	75	
13	0.0226901	0.0207369	0.0101681	0.00811505	0.061799	86	
14	0.0226641	0.0200651	0.010041	0.00828791	0.0611482	72	
15	0.0238061	0.0206449	0.0102751	0.00852609	0.0633421	75	
16	0.0225658	0.02087	0.010422	0.00902891	0.0629799	68	
17	0.0238068	0.0192752	0.010123	0.00824404	0.0615389	83	
18	0.0225871	0.0207729	0.010494	0.00797415	0.061909	73	
19	0.0229149	0.0198641	0.010205	0.00836396	0.0614491	58	
20	0.0241411	0.0222459	0.010824	0.00997615	0.0673819	90	
21	0.0218639	0.018117	0.0102642	0.00819898	0.058532	84	
22	0.0220668	0.0197611	0.00982094	0.00789809	0.0596299	79	
23	0.0234098	0.0216191	0.00972295	0.00770807	0.0625348	75	
24	0.0224402	0.021004	0.010124	0.0072341	0.0608761	62	
25	0.023351	0.0202761	0.00980687	0.0068531	0.0603559	71	
26	0.0224309	0.021313	0.0102789	0.00737596	0.0614769	60	
27	0.022104	0.0206869	0.0100491	0.00722194	0.060138	70	
28	0.0234859	0.0209732	0.0100398	0.00700402	0.061569	68	
29	0.0222502	0.020571	0.0102038	0.00719595	0.0602982	60	
30	0.0225611	0.0192039	0.00961614	0.00700998	0.0585201	62	
31	0.022609	0.022223	0.010025	0.00792789	0.06287	64	
32	0.0224268	0.019387	0.00978899	0.00795484	0.059643	67	
33	0.023535	0.021152	0.0105519	0.00784492	0.0631649	73	
34	0.022321	0.0218899	0.010339	0.00890207	0.0635428	66	
35	0.022413	0.0209808	0.0117931	0.00926709	0.064554	66	
36	0.0254948	0.0206661	0.0110629	0.00988722	0.0672119	76	
37	0.022325	0.02245	0.0105789	0.00913501	0.0645919	88	
38	0.0229821	0.021127	0.0106881	0.00942802	0.0643229	77	
39	0.0239229	0.0194771	0.011483	0.011225	0.0662949	95	
40	0.024663	0.022475	0.011126	0.010422	0.0688009	73	
41	0.022568	0.01897	0.011384	0.011205	0.0642428	85	
42	0.0236871	0.0205619	0.01138	0.011049	0.066802	99	
43	0.0223341	0.0223038	0.010849	0.009969	0.0655651	71	
44	0.023581	0.0201561	0.0104389	0.00943804	0.0637171	64	
45	0.023973	0.0226841	0.010978	0.00987816	0.06762	77	
46	0.022855	0.019887	0.011539	0.0114481	0.0658629	86	
47	0.0226159	0.019546	0.01123	0.01127	0.0647879	82	
48	0.0237	0.02127	0.011663	0.0121429	0.0689571	93	
49	0.0242331	0.019474	0.00969481	0.00628209	0.0597479	50	
50	0.02333	0.0197349	0.011708	0.0120451	0.0669549	86	
51	0.023731	0.0201759	0.010814	0.010402	0.0652261	95	
52	0.022876	0.0206339	0.0114689	0.01091	0.0660188	78	
53	0.0227768	0.021369	0.0104861	0.00783801	0.0625489	103	
54	0.0240259	0.0210631	0.0126789	0.0133538	0.0712709	119	
55	0.0233998	0.0228071	0.011493	0.011559	0.0694089	109	
56	0.0268569	0.016932	0.0118511	0.012105	0.06792	125	
57	0.0242581	0.018122	0.0106161	0.0080719	0.0611451	55	
58	0.0245001	0.0174539	0.010026	0.00860119	0.060673	73	
59	0.0263441	0.022032	0.0182049	0.016957	0.0837641	134	
60	0.0245302	0.022512	0.0129449	0.0138261	0.0739641	110	
61	0.024229	0.020813	0.016294	0.0206132	0.0821872	138	
62	0.023844	0.0214589	0.014493	0.0178511	0.0778508	149	
63	0.0237851	0.021034	0.0168998	0.0210371	0.08301	155	
64	0.02421	0.022851	0.0169489	0.02125	0.0855138	168	
65	0.0252829	0.0213571	0.0184	0.022366	0.0876598	139	
66	0.0252061	0.019434	0.0180831	0.0221591	0.0851431	186	
67	0.0246251	0.021734	0.0179539	0.022573	0.0871611	177	
68	0.023778	0.0212371	0.0166609	0.022666	0.0846081	176	
69	0.023941	0.021378	0.0167639	0.0227208	0.0850651	193	
70	0.0236292	0.0215969	0.016701	0.0220439	0.0842352	176	
71	0.0236142	0.022157	0.016233	0.0218711	0.0841341	171	
72	0.0247011	0.0182168	0.0170231	0.0221579	0.0823691	187	
73	0.025389	0.020978	0.016489	0.0221848	0.0853951	182	
74	0.0246129	0.022223	0.0165279	0.0219989	0.0856209	197	
75	0.0239921	0.022959	0.016767	0.022877	0.086859	183	
76	0.02388	0.023222	0.019484	0.0275819	0.0944889	214	
77	0.0251012	0.0220759	0.017339	0.0238609	0.0886672	202	
78	0.0239551	0.0220039	0.017863	0.0241652	0.088284	196	
79	0.024153	0.0231721	0.0179629	0.0249491	0.090543	196	
80	0.0255289	0.0229189	0.0170052	0.0239809	0.0897639	209	
81	0.025166	0.0207629	0.018662	0.0256209	0.090512	219	
82	0.025182	0.0207498	0.0179601	0.0248899	0.089083	216	
83	0.0248759	0.0236981	0.0176609	0.024437	0.090951	193	
84	0.02477	0.0203278	0.0178962	0.0240669	0.087343	199	
85	0.0239379	0.0201521	0.0175769	0.0243421	0.0862939	212	
86	0.0237751	0.0205469	0.0175161	0.025681	0.0878022	201	
