Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
1	0.0218291	0.0217218	0.014538	0.0290589	0.0873561	235	
2	0.023046	0.0222311	0.014333	0.0305071	0.0903182	226	
3	0.0235181	0.021337	0.0127268	0.024153	0.0819061	151	
4	0.0235529	0.0219522	0.013725	0.025866	0.0853329	185	
5	0.024123	0.0229189	0.0137451	0.0246329	0.0855958	164	
6	0.023735	0.021796	0.0136149	0.0256739	0.0850101	171	
7	0.022965	0.0217969	0.0132031	0.024229	0.082366	158	
8	0.0227599	0.0215991	0.013603	0.0256932	0.083837	152	
9	0.0225191	0.0212018	0.012382	0.0211749	0.077451	128	
10	0.0251331	0.0192139	0.0115359	0.0178828	0.0738859	87	
11	0.023546	0.0216119	0.0153952	0.02354	0.084259	125	
12	0.023721	0.020932	0.0128851	0.024075	0.081779	112	
13	0.0224161	0.022022	0.0123849	0.022465	0.0794401	122	
14	0.0224051	0.0206108	0.0122972	0.021271	0.0767701	102	
15	0.0222828	0.0218072	0.012177	0.0218539	0.0782731	101	
16	0.023905	0.0231969	0.0127079	0.0228291	0.0827899	100	
17	0.0234051	0.023037	0.0123141	0.0233781	0.0822852	117	
18	0.022516	0.0214832	0.0118189	0.018959	0.0749211	102	
19	0.0224361	0.0209219	0.01191	0.0194571	0.074861	79	
20	0.0221438	0.0203571	0.0122008	0.0212531	0.076113	117	
21	0.0235579	0.021455	0.012315	0.020678	0.0781479	110	
22	0.0221748	0.022949	0.0122011	0.019731	0.0771959	107	
23	0.022223	0.020967	0.0117669	0.0192289	0.0743198	100	
24	0.022711	0.0205879	0.0112331	0.017436	0.072088	86	
25	0.023633	0.0208349	0.0112982	0.019227	0.0751112	93	
26	0.023488	0.0214438	0.011975	0.019161	0.0762	92	
27	0.0219932	0.019351	0.0114439	0.019151	0.072067	105	
28	0.022856	0.019156	0.011426	0.0174711	0.0710299	121	
29	0.0231881	0.0212629	0.0113301	0.0185931	0.0744932	78	
30	0.0221992	0.019737	0.0115068	0.0190959	0.072669	93	
31	0.0221069	0.0200701	0.012193	0.0224111	0.0769351	96	
32	0.0220699	0.0213821	0.0123248	0.0223122	0.078258	109	
33	0.023381	0.0207438	0.0126421	0.0243089	0.081234	113	
34	0.0233531	0.0215609	0.0129349	0.0239301	0.0819521	105	
35	0.0223188	0.0219021	0.0137181	0.026247	0.084372	104	
36	0.022321	0.0198641	0.0160339	0.0281489	0.0866179	117	
37	0.0223119	0.0214591	0.0136979	0.0274909	0.0851839	136	
38	0.0223231	0.0215299	0.0141962	0.028929	0.0872512	118	
39	0.023299	0.0203221	0.01489	0.030822	0.0895522	155	
40	0.0236549	0.0211129	0.0161011	0.033145	0.0942369	115	
41	0.023596	0.0228939	0.0159481	0.0323079	0.0949728	116	
42	0.023452	0.020185	0.0162661	0.0325959	0.0927341	115	
43	0.0233879	0.0204861	0.014488	0.0297771	0.0883441	112	
44	0.0222421	0.0199351	0.0143838	0.0292978	0.086055	96	
45	0.022378	0.0213692	0.014982	0.0310268	0.0900252	98	
46	0.0224118	0.0231822	0.0171859	0.036371	0.0994089	119	
47	0.0231872	0.019115	0.0176139	0.0347161	0.0948811	149	
48	0.0227389	0.0234671	0.0165448	0.0357561	0.0987589	107	
49	0.023531	0.021946	0.0120301	0.02105	0.0787079	82	
50	0.0227289	0.0230501	0.017643	0.0381811	0.101884	135	
51	0.0226171	0.0213709	0.0153329	0.0327821	0.0923669	123	
52	0.0229962	0.0217178	0.0158832	0.0345099	0.0953591	113	
53	0.0240362	0.0220699	0.0132089	0.026695	0.0862942	95	
54	0.024339	0.0184572	0.0206528	0.0438418	0.107627	132	
